PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=8.62 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=5.97 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=5.35 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=6.04 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=7.34 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=17.2 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=6.98 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=16.2 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=9.43 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=9.93 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=21.2 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=8.85 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=8.25 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=7.62 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=9.88 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=5.56 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=7.59 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=4.50 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=9.99 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=7.88 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=8.52 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=17.1 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=5.60 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=7.17 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=9.51 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=9.64 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=9.20 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=9.20 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=8.23 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=8.54 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=7.66 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=9.00 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=8.22 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=8.25 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=8.88 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=3.46 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=14.3 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=7.60 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=8.53 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=8.50 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=6.13 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=8.51 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=7.45 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=20.1 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=16.3 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=8.84 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=8.08 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=9.33 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=7.79 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=7.96 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=8.08 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=6.21 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=13.7 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=13.0 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=8.00 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=7.35 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=8.51 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=4.91 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=8.54 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=9.96 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=8.02 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=6.60 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=7.63 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=8.76 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=9.77 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=6.99 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=7.95 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=7.86 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=8.76 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=8.72 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=9.68 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=7.30 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=6.46 ms
64 bytes from 10.0.0.2: icmp_seq=379 ttl=64 time=8.77 ms
64 bytes from 10.0.0.2: icmp_seq=380 ttl=64 time=5.66 ms
64 bytes from 10.0.0.2: icmp_seq=382 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=8.14 ms
64 bytes from 10.0.0.2: icmp_seq=386 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=9.14 ms
64 bytes from 10.0.0.2: icmp_seq=390 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=8.13 ms
64 bytes from 10.0.0.2: icmp_seq=394 ttl=64 time=0.207 ms
64 bytes from 10.0.0.2: icmp_seq=395 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=15.3 ms
64 bytes from 10.0.0.2: icmp_seq=397 ttl=64 time=8.69 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=8.45 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=13.7 ms
64 bytes from 10.0.0.2: icmp_seq=404 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=409 ttl=64 time=13.3 ms
64 bytes from 10.0.0.2: icmp_seq=410 ttl=64 time=6.29 ms
64 bytes from 10.0.0.2: icmp_seq=412 ttl=64 time=7.65 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=5.77 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=418 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=420 ttl=64 time=6.05 ms
64 bytes from 10.0.0.2: icmp_seq=422 ttl=64 time=13.8 ms
64 bytes from 10.0.0.2: icmp_seq=423 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=15.6 ms
64 bytes from 10.0.0.2: icmp_seq=425 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=428 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=431 ttl=64 time=6.60 ms
64 bytes from 10.0.0.2: icmp_seq=432 ttl=64 time=15.6 ms
64 bytes from 10.0.0.2: icmp_seq=433 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=434 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=435 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=436 ttl=64 time=20.7 ms
64 bytes from 10.0.0.2: icmp_seq=437 ttl=64 time=11.4 ms
64 bytes from 10.0.0.2: icmp_seq=438 ttl=64 time=6.14 ms
64 bytes from 10.0.0.2: icmp_seq=439 ttl=64 time=9.36 ms
64 bytes from 10.0.0.2: icmp_seq=440 ttl=64 time=4.81 ms
64 bytes from 10.0.0.2: icmp_seq=443 ttl=64 time=7.60 ms
64 bytes from 10.0.0.2: icmp_seq=444 ttl=64 time=8.51 ms
64 bytes from 10.0.0.2: icmp_seq=445 ttl=64 time=9.49 ms
64 bytes from 10.0.0.2: icmp_seq=446 ttl=64 time=7.78 ms
64 bytes from 10.0.0.2: icmp_seq=448 ttl=64 time=7.14 ms
64 bytes from 10.0.0.2: icmp_seq=452 ttl=64 time=8.51 ms
64 bytes from 10.0.0.2: icmp_seq=455 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=456 ttl=64 time=16.5 ms
64 bytes from 10.0.0.2: icmp_seq=457 ttl=64 time=7.62 ms
64 bytes from 10.0.0.2: icmp_seq=458 ttl=64 time=13.3 ms
64 bytes from 10.0.0.2: icmp_seq=460 ttl=64 time=7.95 ms
64 bytes from 10.0.0.2: icmp_seq=464 ttl=64 time=7.93 ms
64 bytes from 10.0.0.2: icmp_seq=465 ttl=64 time=5.57 ms
64 bytes from 10.0.0.2: icmp_seq=466 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=469 ttl=64 time=7.22 ms
64 bytes from 10.0.0.2: icmp_seq=471 ttl=64 time=9.61 ms
64 bytes from 10.0.0.2: icmp_seq=472 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=474 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=475 ttl=64 time=11.0 ms
